,Fund name,Fossil fuel grade,Fossil fuels,Carbon footprint,Clean200,Sustainability mandate,Net assets,Group
0,Shelton BDC Income InvestorTicker: LOANX,A,0%,0.74,0%,,$6.89M,Group:Sector Equity FundsCategory:Financial
1,Shelton BDC Income InstitutionalTicker: LOAIX,A,0%,0.74,0%,,$6.89M,Group:Sector Equity FundsCategory:Financial
2,Eventide Healthcare & Life Sciences ITicker: ETIHX,A,0%,1.18,0%,,$1.08B,Group:Sector Equity FundsCategory:Health
3,Eventide Healthcare & Life Sciences NTicker: ETNHX,A,0%,1.18,0%,,$1.08B,Group:Sector Equity FundsCategory:Health
4,Eventide Healthcare & Life Sciences ATicker: ETAHX,A,0%,1.18,0%,,$1.08B,Group:Sector Equity FundsCategory:Health
5,Eventide Healthcare & Life Sciences CTicker: ETCHX,A,0%,1.18,0%,,$1.08B,Group:Sector Equity FundsCategory:Health
6,Fidelity® Select Brokerage & Invmt MgmtTicker: FSLBX,A,0%,1.32,0%,,$309.52M,Group:Sector Equity FundsCategory:Financial
7,Franklin Biotechnology Discovery ATicker: FBDIX,B,0.1%,1.37,0%,,$1.07B,Group:Sector Equity FundsCategory:Health
8,Franklin Biotechnology Discovery AdvTicker: FTDZX,B,0.1%,1.37,0%,,$1.07B,Group:Sector Equity FundsCategory:Health
9,Franklin Biotechnology Discovery CTicker: FBTDX,B,0.1%,1.37,0%,,$1.07B,Group:Sector Equity FundsCategory:Health
